Date,ML_Prediction,Confidence,TA_Signal,Hybrid_Signal,Portfolio_Value,Daily_Return,Close
2022-08-23,1,0.7323443357685278,0,0,100324.03029674175,-0.0022378626777134203,4128.72998046875
2022-08-24,1,0.4942714164202907,0,0,100616.59126570661,0.0029161604463008306,4140.77001953125
2022-08-25,1,0.3949282017478696,0,0,102034.44057839498,0.014091605518061545,4199.1201171875
2022-08-26,-1,0.42093470429232255,1,1,98597.09835277675,-0.033688058719518854,4057.659912109375
2022-08-29,1,0.7696893486329388,1,1,97939.81501435858,-0.006666355799502699,4030.610107421875
2022-08-30,1,0.5957704287438159,1,1,96859.71949774137,-0.011028155571448206,3986.159912109375
2022-08-31,1,0.5060288412553162,1,1,96102.5646386702,-0.007817025105971265,3955.0
2022-09-01,1,0.6406325561454969,1,1,96390.51022046144,0.0029962320243364093,3966.85009765625
2022-09-02,1,0.5055984867734011,1,1,95355.61346332479,-0.010736500458081055,3924.260009765625
2022-09-06,1,0.6071425981389563,1,1,94965.12679246394,-0.004095056983834833,3908.18994140625
2022-09-07,1,0.5539404000754353,1,1,96706.88373970258,0.018341016392734,3979.8701171875
2022-09-08,1,0.4888737023814226,1,1,97346.18605174123,0.006610721877456038,4006.179931640625
2022-09-09,1,0.4936106604522304,1,1,98832.8034468418,0.015271449816332883,4067.360107421875
2022-09-12,-1,0.4641308001959567,0,0,99878.87679708272,0.010584272769349923,4110.41015625
2022-09-13,-1,0.5070330388112432,1,1,95560.45241411941,-0.0432366134006168,3932.68994140625
2022-09-14,-1,0.5259526314676636,1,1,95884.11682132506,0.0033870120853241037,3946.010009765625
2022-09-15,1,0.4748486288031055,1,1,94798.92539521924,-0.011317739184353415,3901.35009765625
2022-09-16,1,0.5182869559788786,1,1,94118.06680149515,-0.007182134089448455,3873.330078125
2022-09-19,1,0.6021374154782737,1,1,94763.44386477518,0.006857100716286535,3899.889892578125
2022-09-20,1,0.5639805474143662,1,1,93695.26055567038,-0.011272103097361819,3855.929931640625
2022-09-21,1,0.6857843588526367,1,1,92091.52622794542,-0.017116493600784377,3789.929931640625
2022-09-22,1,0.7313563993996545,1,1,91315.41743311622,-0.00842758097968932,3757.989990234375
2022-09-23,1,0.5748389852904676,1,1,89741.81363425354,-0.017232619015461026,3693.22998046875
2022-09-26,1,0.6921388865826135,1,1,88813.83605838977,-0.010340526208282186,3655.0400390625
2022-09-27,-1,0.512915712117022,1,1,88625.51876990692,-0.0021203598092424114,3647.2900390625
2022-09-28,1,0.474193912863694,1,1,90368.97237618368,0.019672139926234733,3719.0400390625
2022-09-29,-1,0.47435774737316494,1,1,88459.79789497722,-0.021126437880238713,3640.469970703125
